,Country,avg_tone,stddev_tone,count,avg_conf,avg_weighted_tone,std_weighted_tone
126,Zimbabwe,-2.559484446468616,3.5346905924212177,286348,45.231850755025356,-2.4999694732053084,4.569142750382091
127,Taiwan,-0.8130212945733195,3.3373608316128904,113563,44.157956376636754,-0.8175625111117409,4.405630195106187
128,Turkmenistan,3.2046525646687263,3.6027640870604616,4081,47.77995589316344,3.131332576359022,4.828484328707935
129,Samoa,-0.10913355925337453,3.648708486850815,15179,47.422755122208315,-0.031671831789887916,4.286402336805624
130,Hong Kong,-0.5947894168226302,2.4179320611545507,101,63.960396039603964,-0.6010540224810048,2.668499463293194
131,Latvia,-0.4176410385274878,2.5539916872529553,33189,40.903913947392205,-0.37974539818501396,3.314929040662598
132,Botswana,-1.0780006428331135,3.530234804009927,30639,43.952478866803744,-0.9239487777462981,4.155856549834547
133,Singapore,-1.133021707964397,3.766698574710623,175191,53.44412669600607,-1.0918525090943958,4.470803367337735
134,Ireland,-1.6024930849045294,3.910579443866054,717663,45.675728022762776,-1.4677047247680213,4.89635168302392
135,India,-2.3978380587252817,3.788468442893863,3397324,41.813194737976126,-2.3478200601707133,5.186189522212457
136,Argentina,-1.615359752378734,3.0407552153157527,22875,33.64327868852459,-1.583149748873573,3.930413391452859
137,Cambodia,-2.496338260919582,3.7654069890145445,98657,41.004794388639425,-2.409118815508398,4.888149813976248
138,Eritrea,-0.33831261025244147,4.354559052422615,12081,48.36271831802003,-0.2177608283592867,5.284046520476628
139,Tuvalu,-0.5570372517846718,2.4640396094437547,124,31.774193548387096,0.18067590866476216,3.8012579135192635
140,Nepal,-1.6143590846709148,3.7205584394278333,116748,49.714598965292765,-1.6921710144331679,4.73361169650256
141,Nicaragua,-1.390773024120463,2.247457489854982,327,33.76146788990825,-1.3047867838163676,3.4194518971534493
142,Austria,-2.721651584128684,3.2511352326991654,14749,44.16909620991254,-2.5820945130015307,4.327611718688849
143,Venezuela,-2.722649179782285,3.789056710186627,11988,37.83366700033367,-2.684311438523933,5.153233039785287
144,China,0.23863290990913197,3.557885455412175,1257781,45.63358804116138,0.22397524277618952,4.396686624810335
145,Canada,-1.860518542467068,3.451612548653536,3750478,44.18726359680019,-1.8267553880474205,4.526298162706701
146,Iran,-3.6947437116125026,3.2504330490780893,265013,36.507492085293926,-3.6252932962270457,4.922310571614538
147,Bahamas,-0.7727529522349553,3.6843529577640686,71399,42.15087046037059,-0.588611413187451,4.488040845103631
148,Norway,-1.6714782130848658,3.110611047247746,16543,43.718793447379554,-1.4990174661776754,4.056369179261278
149,Madagascar,1.7055077199264852,2.1309567452925284,12,33.333333333333336,2.113554870606342,2.8333572129817606
150,Serbia,-1.0829254429005084,3.3205120812477924,25270,35.094182825484765,-1.0522201613051527,4.32308783214648
151,Jordan,-0.17999262265040425,4.042950625811545,46719,44.35540144266786,-0.0777523204509569,5.001030920545186
152,Belize,-1.5963710385184438,3.6496620922704825,55816,44.99731259853805,-1.2794767469837398,4.237946998230169
153,Senegal,-1.8682367718066935,1.6303873917758473,46,38.47826086956522,-1.9745367741398385,3.2437084858866982
154,Germany,-2.576105422335609,3.380014922075854,114558,41.06426439009061,-2.566210202640534,4.726469161096852
155,Namibia,-1.925640301963992,3.800721874556454,45424,42.48018668545262,-1.5587651752565352,4.418534899770113
156,Maldives,-2.9079849884215707,4.132530286407204,7125,45.11578947368421,-2.597606537043528,5.278177675675865
157,Ecuador,-0.9043617766071225,3.423865972333736,3921,50.68604947717419,-0.7251068149752324,3.985515921908213
158,Kuwait,-1.0612989419258634,4.844735065285817,35183,45.91365147940767,-1.2721111378631413,6.123735883985057
159,Gambia,-0.8272581177636458,4.520434219852207,29918,43.29166388127549,-0.6992500847751294,5.333371572555149
160,Sweden,-1.0436542106261626,3.5514477287801847,25588,44.76004377051743,-0.831847780752014,4.359693647200402
161,Vietnam,0.9691735123669759,3.6803601478115295,208345,40.71515995104274,0.907514694753713,4.515261044714746
162,Cuba,-2.1983248878143784,2.9607195481891804,31234,41.02196324518153,-2.1732845546424504,4.0651815858382205
163,Malta,-0.7906262530996253,3.6266055666447135,69883,45.148319333743544,-0.5826688177864582,4.34505137487675
164,Angola,0.8572847733016994,3.2857441905521427,7401,43.14822321307931,0.9380244492332349,3.9898485334119997
165,Poland,-0.8263884277305443,3.443224260735376,43213,43.88123944183463,-0.826030833031634,4.218702233604766
166,Panama,-2.041107003251955,4.030097784767568,7306,46.99835751437175,-1.7894453795929754,5.2618152041098485
167,Djibouti,1.6513708054877259,2.543835018699253,694,45.54755043227666,1.5911096376254863,3.8859980982134577
168,Guyana,-2.180226597512031,3.8863469206692876,54161,42.24995845719244,-1.9873132211433442,4.73357876026044
169,Anguilla,2.073789853180319,3.3674138545437944,2242,53.61730597680642,1.819712630698812,4.415703332433895
170,Chile,-0.7744077340691923,4.374244330367233,1858,42.80947255113025,-0.7996800721749224,5.352562413423989
171,Guinea,-2.5986320916140557,0.8783809341679024,22,44.09090909090909,-2.513932288305607,2.3586675062762463
172,Kenya,-2.4068540296610275,3.8338071230126123,357139,44.173529074114,-2.302025727577931,4.907256039542611
173,Dominica,1.9501335272227713,3.2613215265226163,2446,56.2959934587081,1.920815268989325,4.008678618106198
174,Libya,-1.238280046921827,3.7387533388048433,1487,42.09818426361802,-1.2615186118266437,4.951756491625872
175,Grenada,0.9545280938172392,3.856762852570801,5423,53.5367877558547,0.9885132394560316,4.266878527224089
176,Bhutan,0.3089001766676703,3.65696938177275,9259,50.00756021168593,0.23955108192760968,4.220362688845131
177,Macau,1.5542727990421579,2.7810044450992577,358,32.76536312849162,1.9931090693702178,4.861040067797501
178,Ghana,-0.6243905543074888,3.94782545675,533834,44.8356230588535,-0.5280002648888993,4.708264783209236
179,Mali,-1.9784254497527145,2.0866357522800985,41,37.073170731707314,-2.125067420919279,3.0763343487266
180,Laos,3.7002588296848606,4.508154640683511,1199,43.97831526271893,3.201850569125271,6.142532654442571
181,Honduras,-0.4874222227488831,2.5101940917996317,45,48.0,-0.32783813920640964,2.8339092986999224
182,Niger,5.0314465408805,0,1,100.0,5.0314465408805,0
